How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Why or why not?.1,What is your age?,What is your gender?
6-25,1.0,No,I don't know,Some did,Sometimes,Yes,Yes,Yes,Somewhat open,No,"unless it's visible or actively and noticably influencing my behaviour, I think it's none of their business","none of their business unless it actively limits my activities, at which point I probably wouldn't be interviewing anyway",32.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,Maybe,depends on the role and the company as to their response to that,very much depends on what the line of questioning leading to that was and the nature of their line of enquiry,35.0,m
100-500,1.0,Yes,I don't know,"Yes, they all did",Sometimes,No,No,No,Somewhat open,No,Fear of discrimination,Stigma,34.0,Male
6-25,1.0,No,I don't know,None did,No,Yes,Yes,Yes,Not open at all,Maybe,"If the health issue could reasonably impact my ability to perform my duties, providing that information would be relevant. However, if I was confident the impact would be minimal, there would be no reason to offer unnecessary information. ",There is still too much stigma attached to mental health and the possibility for discrimination is too high. I might disclose it *after* being hired and passing any probationary period. ,35.0,male
26-100,1.0,Yes,Yes,None did,"Yes, always",No,No,No,Somewhat open,Maybe,Fear of discrimination,Stigma,31.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Yes,I have physical health issues which I am not able to hide and which I require accommodation for in many situations or cannot function.  I discuss it when that is absolutely necessary.,I have enough counting against me in an interview without adding to the number of biases weighted against me.,35.0,F
26-100,0.0,No,I don't know,None did,I don't know,No,No,No,Very open,Yes,I would discuss it to make sure I was open and up front about myself and who I am/how I work,I depends on what degree it affects my work. If it affects how I work I would want to be up front about that.,36.0,Male
26-100,1.0,No,I don't know,None did,I don't know,No,Yes,Yes,Somewhat open,Maybe,"Could be seen as a weakness, or a reason why you couldn't be as productive.",Could definitely be seen as a weakness and a reason why you wouldn't be as productive as someone without the issue.,50.0,Male
6-25,1.0,No,Yes,None did,I don't know,Yes,Yes,Yes,Somewhat open,No,Seems like it could only hurt you,Would only hurt you,31.0,Male
100-500,1.0,No,I don't know,Some did,I don't know,No,Yes,Yes,Somewhat open,No,It's illegal for them to ask in the U.S. and unless it's relevant to job performance there's no reason for me to bring it up.,It's not relevant to my ability to perform the job responsibilities.,47.0,male
6-25,1.0,No,I don't know,Some did,"Yes, always",No,No,No,Somewhat open,No,"I have fibromyalgia which still isn't accepted fully in the medical community, so I don't believe it would be handled well by employers (or anybody, really).","Don't have one personally, but the same logic applies. Mental health isn't respected or understood well by anyone and I don't see how it would be to my advantage to disclose.",32.0,Female
26-100,1.0,No,Yes,None did,I don't know,Yes,No,Yes,Somewhat open,Maybe,"If it was going to effect my position, I would bring it up.","If it was going to effect my position, I would bring it up.",23.0,Female
6-25,1.0,No,I don't know,Some did,"Yes, always",Yes,Yes,Yes,Very open,Maybe,Fear of discrimination,Stigma,43.0,Female
6-25,1.0,No,I don't know,None did,I don't know,No,Maybe,Yes,Very open,Maybe,"It would depend on the relevance said issue had to the job - for example, I wouldn't feel the need to bring up a knee problem for a desk job interview. If I had a chronic physical health issue that would require me to take breaks or time off, I would be upfront about it. ","Again, it would depend on the relevance. If a mental health issue would in any way effect my life at a the potential job, I would much rather be upfront about my needs and requirements from my employers than try to hide it. If I thought it was irrelevant to the job, I probably wouldn't bring it up during an interview.",26.0,Female
26-100,1.0,No,I don't know,I don't know,I don't know,Maybe,Maybe,Yes,Somewhat not open,Yes,Fear of discrimination,Stigma,26.0,female
6-25,1.0,Yes,Yes,Some did,Sometimes,No,No,No,Somewhat open,Maybe,"It would depend on the nature of the job and the physical health issue - if there would be a direct impact on my ability to work because of the issue.  If not relevant, I would not disclose.",Only if I had a firm belief that there would be no negative consequences.,55.0,Female
6-25,1.0,Yes,I don't know,None did,I don't know,Yes,Yes,No,Somewhat open,No,I would be afraid that it would result in me being passed up for the position.,I would be afraid that it would result in me not being chosen for the position.,27.0,Male
100-500,1.0,No,I don't know,None did,No,No,No,Yes,Somewhat not open,Yes,"I would bring up a physical health issue because, compared with mental health issues, i feel that there is no prejudices","Like i said before, i think that there are so many prejudices and ignorance about mental health",34.0,Male
26-100,1.0,No,I don't know,None did,I don't know,No,No,Yes,Neutral,Yes,"If I have a physical health issue and it has the potential to interfere with my work life, I must be upfront about it.","I am from India. IMO mental illness is not looked upon in an accepting way here. If I have an mental health issue, I would be skeptical to talk about it as it might affect my prospects.",25.0,Male
26-100,0.0,No,I don't know,None did,I don't know,No,No,No,Somewhat open,No,i would not want to give the interviewer any reason at all to disqualify me,i would not want to give ANY reason for disqualification,35.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,Very open,Maybe,"I guess it really depends on whether it is necessary for the job. If it will not impact day-to-day work, it would not be necessary",I am scared it may scare off potential employers to be honest. I guess it really depends on the person that is sitting across the table and how comfortable I'd feel.,37.0,Male
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,Somewhat not open,Yes,There is no stigma against physical health issue like there is with mental health.,The stigma associated with mental health colors the judgement of potential candidates.  ,38.0,Female
26-100,1.0,No,I don't know,Some did,I don't know,Maybe,Maybe,I don't know,Somewhat not open,Maybe,"Being viewed as problematic. Too personal. Maybe allude to it vaguely, at best.",For all the reasons you already know.,29.0,male
500-1000,1.0,Yes,Yes,None did,I don't know,Maybe,Maybe,Yes,Somewhat open,Yes,Fear of discrimination,Stigma,28.0,Male
6-25,1.0,Yes,I don't know,Some did,I don't know,Maybe,Yes,Yes,Very open,Maybe,May not be relevant. ,Concern about it's impact on hiring,29.0,Male
More than 1000,1.0,No,I don't know,Some did,Sometimes,Maybe,Maybe,Yes,Somewhat not open,Yes,I would as likely it would effect my work,"For the same reason.  If it effects my work, they need to know.",40.0,male
26-100,1.0,Yes,Yes,None did,I don't know,Yes,Yes,No,Somewhat open,Yes,"I think physical health issues are easy to empathize with and understand, so I don't think mentioning it would affect me negatively",I don't think mental health issues are well understood and the negative stigma might cause my interview to end negatively,25.0,Female
More than 1000,1.0,No,I don't know,None did,"Yes, always",Maybe,Maybe,No,Somewhat not open,Maybe,"If it doesn't affect my job, I don't feel that a potential employer has a need to know.","I would say it depends on what it is. Generally speaking, I would be hesitant to bring up any mental health issue in an interview situation, but there are circumstances which could change my mind.",29.0,Male
26-100,1.0,Yes,I don't know,I don't know,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,Depends on the employer and how specifically it is referenced.  Likely would ask about their short-term disability and qualifying events,Same as above,29.0,F
1-5,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,Very open,Maybe,It depends on the relevance for the job and my functioning there-in,"Same, depends on the relevance to my function",35.0,M
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,I don't know,Somewhat not open,No,I try to give the best impression to my interviewers and I wouldn't bring up physical health issues that aren't going to impact my ability to do my job.,I try to give the best impression to my interviewers and I wouldn't bring up a mental health issue that doesn't impact my ability to do my job.,25.0,Male
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,Somewhat open,Yes,It could mean time off/etc so the employer needs to be informed.,It could mean time off/etc and the employer should be infomred,43.0,Male
6-25,1.0,No,I don't know,None did,I don't know,No,Maybe,No,Somewhat open,Yes,Fear of discrimination,Stigma,26.0,Male
100-500,1.0,No,I don't know,None did,I don't know,Maybe,No,No,Somewhat not open,No,Seems irrelevant and embarrassing,Seems irrelevant and embarrassing,31.0,male
100-500,1.0,I don't know,Yes,None did,I don't know,No,No,Yes,Somewhat open,Yes,I would not want to work for an employer that reacted negatively to a physical health issue. I think it's a good test to ensure that they're the kind of employer I'd want to work for. ,I would not want to work for an employer that reacted negatively to a mental health issue. I think it's a good test to ensure that they're the kind of employer I'd want to work for. ,31.0,female
More than 1000,0.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,Somewhat not open,Maybe,"I would worry that a potential employer might see a physical illness as a reason I might not be able to work, or to be available for work as much as this profession demands.",I think a potential employer would definitely see a mental health issue as a reason not to hire me.,45.0,F
More than 1000,1.0,No,No,None did,I don't know,Maybe,No,I don't know,Somewhat open,Maybe,"i would do it if it makes me unable to perform certain tasks (cannot be exposed to certain liquids, heavy things lifting, etc)",employers may see it as a cost,23.0,Male
6-25,1.0,No,I don't know,Some did,Sometimes,No,No,I don't know,Somewhat open,Maybe,Unsure,Unsure,39.0,Male
26-100,1.0,No,I don't know,None did,I don't know,No,No,Yes,Somewhat open,Maybe,"I don't think I'd bring up any type of health issues in an interview unless they are not offering health care, which in that case - I did bring up a few issues of physical health in one interview.",It depends on whether or not it would affect my job.,27.0,Female
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,Fear of discrimination,Could compromise my ability to get hired or look like a compelling candidate,28.0,Male
500-1000,1.0,No,I don't know,None did,No,Maybe,No,No,Neutral,No,Many organizations look for any reason to reject a candidate during the interview process.,Many organizations look for any reason to reject a candidate during the interview process.,36.0,Male
100-500,1.0,No,I don't know,None did,I don't know,No,No,No,Neutral,Maybe,"It would depend on the specific issue.
If it impacts my work I would mention it. Otherwise I would not.",It should not have an impact on my interview process.,22.0,male
1-5,1.0,No,No,Some did,Sometimes,No,Maybe,I don't know,Somewhat open,Maybe,Fear of being disqualified for the job,Too great a stigma. Would likely be rejected for another candidate. ,51.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,No,Somewhat open,Yes,"If the issue affected my work, I would want the employer to know about it at the time of hiring, to avoid conflict later.","If the issue affected my work, I would want the employer to know about it at the time of hiring, to avoid conflict later.",39.0,Male
More than 1000,1.0,No,I don't know,None did,Sometimes,Yes,Yes,Yes,Not open at all,Maybe,"If it does not affect my work, it is none of their business.","If it does not affect my work, it is none of their business.",36.0,Male
More than 1000,0.0,No,I don't know,Some did,I don't know,Yes,Yes,Yes,Somewhat open,No,"I feel like bringing up a physical health issue would be a mark against me getting the job. If they had the choice between myself and another candidate that didn't mention a health issue, I feel they would take the other candidate.","I feel like bringing up a mental health issue would be a mark against me getting the job. If they had the choice between myself and another candidate that didn't mention a health issue, I feel they would take the other candidate.",28.0,male
100-500,1.0,No,Yes,None did,I don't know,No,No,No,Somewhat not open,Maybe,I would bring it up if it were relevant to my performance.,Stigma,40.0,M
26-100,1.0,Yes,Yes,None did,I don't know,Yes,Yes,I don't know,Very open,Maybe,"I have some vision issues that require me to use basic assistive technology (zooming screen, mainly) and depending on what we would be doing in an interview, my needing to see something bigger or closer may come up.",I worry that it would be viewed as a very severe weakness.,35.0,Female
100-500,1.0,No,I don't know,Some did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,"Depends on the nature of the physical health issue, whether it was chronic and the impact on the work. In almost all cases, I would not discuss it because just increases the chance of discrimination.",Discrimination.,38.0,Male
100-500,1.0,No,I don't know,Some did,I don't know,Maybe,Yes,Yes,Neutral,No,Judgement,Judgement,29.0,Male
